drug,creationDate,type,status
DB00251,2005-06-13,small molecule,approved
DB00252,2005-06-13,small molecule,approved
DB00253,2005-06-13,small molecule,approved
DB00254,2005-06-13,small molecule,approved
DB00255,2005-06-13,small molecule,approved
DB00256,2005-06-13,small molecule,approved
DB00257,2005-06-13,small molecule,approved
DB00258,2005-06-13,small molecule,approved
DB00259,2005-06-13,small molecule,approved
DB00260,2005-06-13,small molecule,approved
DB00261,2005-06-13,small molecule,approved
DB00262,2005-06-13,small molecule,approved
DB00263,2005-06-13,small molecule,approved
DB00264,2005-06-13,small molecule,approved
DB00265,2005-06-13,small molecule,approved
DB00266,2005-06-13,small molecule,approved
DB00267,2005-06-13,small molecule,approved
DB00268,2005-06-13,small molecule,approved
DB00269,2005-06-13,small molecule,withdrawn
DB00270,2005-06-13,small molecule,approved
DB00271,2005-06-13,small molecule,approved
DB00272,2005-06-13,small molecule,approved
DB00273,2005-06-13,small molecule,approved
DB00274,2005-06-13,small molecule,approved
DB00275,2005-06-13,small molecule,approved
DB00276,2005-06-13,small molecule,approved
DB00277,2005-06-13,small molecule,approved
DB00278,2005-06-13,small molecule,approved
DB00279,2005-06-13,small molecule,approved
DB00280,2005-06-13,small molecule,approved
DB00281,2005-06-13,small molecule,approved
DB00282,2005-06-13,small molecule,approved
DB00283,2005-06-13,small molecule,approved
DB00284,2005-06-13,small molecule,approved
DB00285,2005-06-13,small molecule,approved
DB00286,2005-06-13,small molecule,approved
DB00287,2005-06-13,small molecule,approved
DB00288,2005-06-13,small molecule,approved
DB00289,2005-06-13,small molecule,approved
DB00290,2005-06-13,small molecule,approved
DB00291,2005-06-13,small molecule,approved
DB00292,2005-06-13,small molecule,approved
DB00293,2005-06-13,small molecule,approved
DB00294,2005-06-13,small molecule,approved
DB00295,2005-06-13,small molecule,approved
DB00296,2005-06-13,small molecule,approved
DB00297,2005-06-13,small molecule,approved
DB00298,2005-06-13,small molecule,approved
DB00299,2005-06-13,small molecule,approved
DB00300,2005-06-13,small molecule,approved
DB00301,2005-06-13,small molecule,approved
DB00302,2005-06-13,small molecule,approved
DB00303,2005-06-13,small molecule,approved
DB00304,2005-06-13,small molecule,approved
DB00305,2005-06-13,small molecule,approved
DB00306,2005-06-13,small molecule,approved
DB00307,2005-06-13,small molecule,approved
DB00308,2005-06-13,small molecule,approved
DB00309,2005-06-13,small molecule,approved
DB00310,2005-06-13,small molecule,approved
DB00311,2005-06-13,small molecule,withdrawn
DB00312,2005-06-13,small molecule,approved
DB00313,2005-06-13,small molecule,approved
DB00314,2005-06-13,small molecule,approved
DB00315,2005-06-13,small molecule,approved
DB00316,2005-06-13,small molecule,approved
DB00317,2005-06-13,small molecule,approved
DB00318,2005-06-13,small molecule,approved
DB00319,2005-06-13,small molecule,approved
DB00320,2005-06-13,small molecule,approved
DB00321,2005-06-13,small molecule,approved
DB00322,2005-06-13,small molecule,approved
DB00323,2005-06-13,small molecule,withdrawn
DB00324,2005-06-13,small molecule,approved
DB00325,2005-06-13,small molecule,approved
DB00326,2005-06-13,small molecule,approved
DB00327,2005-06-13,small molecule,approved
DB00328,2005-06-13,small molecule,approved
DB00330,2005-06-13,small molecule,approved
DB00331,2005-06-13,small molecule,approved
DB00332,2005-06-13,small molecule,approved
DB00333,2005-06-13,small molecule,approved
DB00334,2005-06-13,small molecule,approved
DB00335,2005-06-13,small molecule,approved
DB00336,2005-06-13,small molecule,approved
DB00337,2005-06-13,small molecule,approved
DB00338,2005-06-13,small molecule,approved
DB00339,2005-06-13,small molecule,approved
DB00340,2005-06-13,small molecule,approved
DB00341,2005-06-13,small molecule,approved
DB00342,2005-06-13,small molecule,withdrawn
DB00343,2005-06-13,small molecule,approved
DB00344,2005-06-13,small molecule,approved
DB00345,2005-06-13,small molecule,approved
DB00346,2005-06-13,small molecule,approved
DB00347,2005-06-13,small molecule,approved
DB00348,2005-06-13,small molecule,approved
DB00349,2005-06-13,small molecule,approved
DB00350,2005-06-13,small molecule,approved
DB00351,2005-06-13,small molecule,approved
DB00352,2005-06-13,small molecule,approved
DB00353,2005-06-13,small molecule,approved
DB00354,2005-06-13,small molecule,approved
DB00355,2005-06-13,small molecule,approved
DB00356,2005-06-13,small molecule,approved
DB00357,2005-06-13,small molecule,approved
DB00358,2005-06-13,small molecule,approved
DB00359,2005-06-13,small molecule,approved
DB00360,2005-06-13,small molecule,approved
DB00361,2005-06-13,small molecule,approved
DB00362,2005-06-13,small molecule,approved
DB00363,2005-06-13,small molecule,approved
DB00364,2005-06-13,small molecule,approved
DB00365,2005-06-13,small molecule,withdrawn
DB00366,2005-06-13,small molecule,approved
DB00367,2005-06-13,small molecule,approved
DB00368,2005-06-13,small molecule,approved
DB00369,2005-06-13,small molecule,approved
DB00370,2005-06-13,small molecule,approved
DB00371,2005-06-13,small molecule,approved
DB00372,2005-06-13,small molecule,withdrawn
DB00373,2005-06-13,small molecule,approved
DB00374,2005-06-13,small molecule,approved
DB00375,2005-06-13,small molecule,approved
DB00376,2005-06-13,small molecule,approved
DB00377,2005-06-13,small molecule,approved
DB00378,2005-06-13,small molecule,withdrawn
DB00379,2005-06-13,small molecule,approved
DB00380,2005-06-13,small molecule,withdrawn
DB00381,2005-06-13,small molecule,approved
DB00382,2005-06-13,small molecule,withdrawn
DB00383,2005-06-13,small molecule,approved
DB00384,2005-06-13,small molecule,approved
DB00385,2005-06-13,small molecule,approved
DB00387,2005-06-13,small molecule,approved
DB00388,2005-06-13,small molecule,approved
DB00389,2005-06-13,small molecule,approved
DB00390,2005-06-13,small molecule,approved
DB00391,2005-06-13,small molecule,approved
DB00392,2005-06-13,small molecule,approved
DB00393,2005-06-13,small molecule,approved
DB00394,2005-06-13,small molecule,approved
DB00395,2005-06-13,small molecule,approved
DB00396,2005-06-13,small molecule,approved
DB00397,2005-06-13,small molecule,withdrawn
DB00398,2005-06-13,small molecule,approved
DB00399,2005-06-13,small molecule,approved
DB00400,2005-06-13,small molecule,approved
DB00401,2005-06-13,small molecule,approved
DB00402,2005-06-13,small molecule,approved
DB00403,2005-06-13,small molecule,approved
DB00404,2005-06-13,small molecule,approved
DB00405,2005-06-13,small molecule,approved
DB00406,2005-06-13,small molecule,approved
DB00407,2005-06-13,small molecule,withdrawn
DB00408,2005-06-13,small molecule,approved
DB00409,2005-06-13,small molecule,withdrawn
DB00410,2005-06-13,small molecule,approved
DB00411,2005-06-13,small molecule,approved
DB00412,2005-06-13,small molecule,approved
DB00413,2005-06-13,small molecule,approved
DB00414,2005-06-13,small molecule,withdrawn
DB00415,2005-06-13,small molecule,approved
DB00416,2005-06-13,small molecule,withdrawn
DB00417,2005-06-13,small molecule,approved
DB00418,2005-06-13,small molecule,approved
DB00419,2005-06-13,small molecule,approved
DB00420,2005-06-13,small molecule,approved
DB00421,2005-06-13,small molecule,approved
DB00422,2005-06-13,small molecule,approved
DB00423,2005-06-13,small molecule,approved
DB00424,2005-06-13,small molecule,approved
DB00425,2005-06-13,small molecule,approved
DB00426,2005-06-13,small molecule,approved
DB00427,2005-06-13,small molecule,approved
DB00428,2005-06-13,small molecule,approved
DB00429,2005-06-13,small molecule,approved
DB00430,2005-06-13,small molecule,approved
DB00431,2005-06-13,small molecule,withdrawn
DB00432,2005-06-13,small molecule,approved
DB00433,2005-06-13,small molecule,approved
DB00434,2005-06-13,small molecule,approved
DB00435,2005-06-13,small molecule,approved
DB00436,2005-06-13,small molecule,approved
DB00437,2005-06-13,small molecule,approved
DB00438,2005-06-13,small molecule,approved
DB00439,2005-06-13,small molecule,withdrawn
DB00440,2005-06-13,small molecule,approved
DB00441,2005-06-13,small molecule,approved
DB00442,2005-06-13,small molecule,approved
DB00443,2005-06-13,small molecule,approved
DB00444,2005-06-13,small molecule,approved
DB00445,2005-06-13,small molecule,approved
DB00446,2005-06-13,small molecule,approved
DB00447,2005-06-13,small molecule,withdrawn
DB00448,2005-06-13,small molecule,approved
DB00449,2005-06-13,small molecule,approved
DB00450,2005-06-13,small molecule,approved
DB00451,2005-06-13,small molecule,approved
DB00452,2005-06-13,small molecule,approved
DB00453,2005-06-13,small molecule,approved
DB00454,2005-06-13,small molecule,approved
DB00455,2005-06-13,small molecule,approved
DB00456,2005-06-13,small molecule,approved
DB00457,2005-06-13,small molecule,approved
DB00458,2005-06-13,small molecule,approved
DB00459,2005-06-13,small molecule,approved
DB00460,2005-06-13,small molecule,approved
DB00461,2005-06-13,small molecule,approved
DB00462,2005-06-13,small molecule,approved
DB00463,2005-06-13,small molecule,withdrawn
DB00464,2005-06-13,small molecule,approved
DB00465,2005-06-13,small molecule,approved
DB00466,2005-06-13,small molecule,experimental
DB00467,2005-06-13,small molecule,approved
DB00468,2005-06-13,small molecule,approved
DB00469,2005-06-13,small molecule,approved
DB00470,2005-06-13,small molecule,approved
DB00471,2005-06-13,small molecule,approved
DB00472,2005-06-13,small molecule,approved
DB00473,2005-06-13,small molecule,withdrawn
DB00474,2005-06-13,small molecule,approved
DB00475,2005-06-13,small molecule,approved
DB00476,2005-06-13,small molecule,approved
DB00477,2005-06-13,small molecule,approved
DB00478,2005-06-13,small molecule,approved
DB00479,2005-06-13,small molecule,approved
DB00480,2005-06-13,small molecule,approved
DB00481,2005-06-13,small molecule,approved
DB00482,2005-06-13,small molecule,approved
DB00483,2005-06-13,small molecule,approved
DB00484,2005-06-13,small molecule,approved
DB00485,2005-06-13,small molecule,approved
DB00486,2005-06-13,small molecule,approved
DB00487,2005-06-13,small molecule,approved
DB00488,2005-06-13,small molecule,approved
DB00489,2005-06-13,small molecule,approved
DB00490,2005-06-13,small molecule,approved
DB00491,2005-06-13,small molecule,approved
DB00492,2005-06-13,small molecule,approved
DB00493,2005-06-13,small molecule,approved
DB00494,2005-06-13,small molecule,approved
DB00495,2005-06-13,small molecule,approved
DB00496,2005-06-13,small molecule,approved
DB00497,2005-06-13,small molecule,approved
DB00498,2005-06-13,small molecule,approved
DB00499,2005-06-13,small molecule,approved
DB00500,2005-06-13,small molecule,approved
DB00501,2005-06-13,small molecule,approved
DB00502,2005-06-13,small molecule,approved
DB00503,2005-06-13,small molecule,approved
DB00504,2005-06-13,small molecule,approved
DB00505,2005-06-13,small molecule,withdrawn
DB00507,2005-06-13,small molecule,approved
DB00508,2005-06-13,small molecule,approved
DB00509,2005-06-13,small molecule,approved
DB00511,2005-06-13,small molecule,approved
DB00512,2005-06-13,small molecule,approved
DB00513,2005-06-13,small molecule,approved
DB00514,2005-06-13,small molecule,approved
DB00515,2005-06-13,small molecule,approved
DB00516,2005-06-13,small molecule,approved
DB00517,2005-06-13,small molecule,approved
DB00518,2005-06-13,small molecule,approved
DB00519,2005-06-13,small molecule,approved
DB00520,2005-06-13,small molecule,approved
DB00521,2005-06-13,small molecule,approved
DB00522,2005-06-13,small molecule,withdrawn
DB00523,2005-06-13,small molecule,approved
DB00524,2005-06-13,small molecule,approved
DB00525,2005-06-13,small molecule,approved
DB00526,2005-06-13,small molecule,approved
DB00527,2005-06-13,small molecule,approved
DB00528,2005-06-13,small molecule,approved
DB00529,2005-06-13,small molecule,approved
DB00530,2005-06-13,small molecule,approved
DB00531,2005-06-13,small molecule,approved
DB00532,2005-06-13,small molecule,withdrawn
DB00533,2005-06-13,small molecule,withdrawn
DB00534,2005-06-13,small molecule,withdrawn
DB00535,2005-06-13,small molecule,approved
DB00536,2005-06-13,small molecule,approved
DB00537,2005-06-13,small molecule,approved
DB00538,2005-06-13,small molecule,approved
DB00539,2005-06-13,small molecule,approved
DB00540,2005-06-13,small molecule,approved
DB00541,2005-06-13,small molecule,approved
DB00542,2005-06-13,small molecule,approved
DB00543,2005-06-13,small molecule,approved
DB00544,2005-06-13,small molecule,approved
DB00545,2005-06-13,small molecule,approved
DB00546,2005-06-13,small molecule,approved
DB00547,2005-06-13,small molecule,approved
DB00548,2005-06-13,small molecule,approved
DB00549,2005-06-13,small molecule,approved
DB00550,2005-06-13,small molecule,approved
DB00551,2005-06-13,small molecule,approved
DB00552,2005-06-13,small molecule,approved
DB00553,2005-06-13,small molecule,approved
DB00554,2005-06-13,small molecule,approved
DB00555,2005-06-13,small molecule,approved
DB00556,2005-06-13,small molecule,approved
DB00557,2005-06-13,small molecule,approved
DB00558,2005-06-13,small molecule,approved
DB00559,2005-06-13,small molecule,approved
DB00560,2005-06-13,small molecule,approved
DB00561,2005-06-13,small molecule,approved
DB00562,2005-06-13,small molecule,approved
DB00563,2005-06-13,small molecule,approved
DB00564,2005-06-13,small molecule,approved
DB00565,2005-06-13,small molecule,approved
DB00566,2005-06-13,small molecule,approved
DB00567,2005-06-13,small molecule,approved
DB00568,2005-06-13,small molecule,approved
DB00569,2005-06-13,small molecule,approved
DB00570,2005-06-13,small molecule,approved
DB00571,2005-06-13,small molecule,approved
DB00572,2005-06-13,small molecule,approved
DB00573,2005-06-13,small molecule,approved
DB00574,2005-06-13,small molecule,withdrawn
DB00575,2005-06-13,small molecule,approved
DB00576,2005-06-13,small molecule,approved
